features,accuracy,precision,recall,f1,method
1,0.952,0.9126743480897513,1.0,0.9543436905516804,mutualInformation
2,0.952,0.9126743480897513,1.0,0.9543436905516804,mutualInformation
3,0.952,0.9126743480897513,1.0,0.9543436905516804,mutualInformation
4,0.952,0.9126743480897513,1.0,0.9543436905516804,mutualInformation
5,0.952,0.9126743480897513,1.0,0.9543436905516804,mutualInformation
6,0.952,0.9126743480897513,1.0,0.9543436905516804,mutualInformation
7,0.952,0.9126743480897513,1.0,0.9543436905516804,mutualInformation
8,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
9,0.9516666666666667,0.912621359223301,0.9993355481727575,0.954012052013955,mutualInformation
10,0.952,0.9126743480897513,1.0,0.9543436905516804,mutualInformation
11,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
12,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
13,0.9516666666666667,0.912621359223301,0.9993355481727575,0.954012052013955,mutualInformation
14,0.952,0.9126743480897513,1.0,0.9543436905516804,mutualInformation
15,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
16,0.952,0.9126743480897513,1.0,0.9543436905516804,mutualInformation
17,0.952,0.9126743480897513,1.0,0.9543436905516804,mutualInformation
18,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
19,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
20,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
21,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
22,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
23,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
24,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
25,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
26,0.9513333333333334,0.912568306010929,0.998671096345515,0.9536802030456852,mutualInformation
27,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
28,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
29,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
30,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
31,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
32,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
33,0.9513333333333334,0.912568306010929,0.998671096345515,0.9536802030456852,mutualInformation
34,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
35,0.9513333333333334,0.912568306010929,0.998671096345515,0.9536802030456852,mutualInformation
36,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
37,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
38,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
39,0.9513333333333334,0.912568306010929,0.998671096345515,0.9536802030456852,mutualInformation
40,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
41,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
42,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
43,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
44,0.9513333333333334,0.912568306010929,0.998671096345515,0.9536802030456852,mutualInformation
45,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
46,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
47,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
48,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
49,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
50,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
51,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
52,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
53,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
54,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
55,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
56,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
57,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
58,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
59,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
60,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
61,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
62,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
63,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
64,0.9513333333333334,0.912568306010929,0.998671096345515,0.9536802030456852,mutualInformation
65,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
66,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
67,0.9513333333333334,0.912568306010929,0.998671096345515,0.9536802030456852,mutualInformation
68,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
69,0.9518333333333333,0.9126478616924477,0.9996677740863787,0.954177897574124,mutualInformation
