Network communication : view network state (S),Your location : mock location sources for testing (D),class
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,1,0
1,1,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,1,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,1,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,1,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,1,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,1,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,1,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,1,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,1,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,1,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
